commit	timestamp_utc	idea_id	title	evidence_type	mechanism	expected_assets	feature_inputs	oos_hypothesis	falsification	references	human_notes	train_cagr	validation_cagr	oos_cagr	benchmark_oos_cagr	excess_oos_cagr_vs_dbmf	ruined	status	description
0b77142	2026-05-28T11:07:11Z	baseline_vanilla_3m_momentum_001	Plain vanilla three-month ETF momentum baseline	replication_of_known_anomaly	Medium-term price momentum can persist across liquid macro ETFs because investors underreact to changing growth, inflation, rate, and risk-appetite regimes.	SPY;QQQ;IWM;MTUM;QUAL;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_63d	A plain 63-trading-day price-momentum baseline provides the reference validation-CAGR strategy; locked OOS CAGR is only a test metric.	Reject as a baseline candidate if it crashes, ruins, or has non-positive validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Monthly top-one 3-month price momentum with SGOV fallback.	0.200918	0.172446	0.214593	0.175971	0.038621	false	keep	Monthly top-one 3-month price momentum with SGOV fallback.
0b77142	2026-05-28T16:08:34Z	sector_top1_1m_momentum_001	Sector and style top-one one-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day price momentum across broad, sector, style, credit, rates, commodity ETFs with SGOV fallback.	0.094073	0.320167	0.762171	0.175971	0.586200	false	keep	Top-one 21-day price momentum across broad, sector, style, credit, rates, commodity ETFs with SGOV fallback.
0b77142	2026-05-28T16:08:38Z	sector_top1_2m_momentum_002	Sector and style top-one two-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_42d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 42-day sector/style macro ETF momentum with cash fallback.	-0.069855	0.054316	0.491720	0.175971	0.315748	false	discard	Top-one 42-day sector/style macro ETF momentum with cash fallback.
0b77142	2026-05-28T16:08:41Z	sector_top1_3m_momentum_003	Sector and style top-one three-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 63-day sector/style macro ETF momentum with cash fallback.	0.147461	0.147449	0.713740	0.175971	0.537769	false	discard	Top-one 63-day sector/style macro ETF momentum with cash fallback.
0b77142	2026-05-28T16:08:44Z	sector_top1_6m_momentum_004	Sector and style top-one six-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_126d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 126-day sector/style macro ETF momentum with cash fallback.	0.072158	0.310660	0.312515	0.175971	0.136544	false	discard	Top-one 126-day sector/style macro ETF momentum with cash fallback.
0b77142	2026-05-28T16:08:47Z	sector_top2_1m_equal_005	Sector and style top-two one-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Equal-weight top-two 21-day sector/style macro ETF momentum.	0.113151	0.330491	0.567997	0.175971	0.392025	false	keep	Equal-weight top-two 21-day sector/style macro ETF momentum.
0b77142	2026-05-28T16:08:51Z	sector_top2_3m_equal_006	Sector and style top-two three-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Equal-weight top-two 63-day sector/style macro ETF momentum.	0.197428	0.128649	0.511893	0.175971	0.335922	false	discard	Equal-weight top-two 63-day sector/style macro ETF momentum.
0b77142	2026-05-28T16:08:54Z	sector_top1_1m_trend63_007	One-month momentum with 63-day trend filter	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;trend_filter_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day momentum but only assets above their 63-day moving average.	0.065845	0.271259	0.720089	0.175971	0.544118	false	discard	Top-one 21-day momentum but only assets above their 63-day moving average.
0b77142	2026-05-28T16:08:58Z	sector_top1_1m_trend126_008	One-month momentum with 126-day trend filter	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;trend_filter_126d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day momentum but only assets above their 126-day moving average.	-0.019415	0.208042	0.549830	0.175971	0.373859	false	discard	Top-one 21-day momentum but only assets above their 126-day moving average.
0b77142	2026-05-28T16:09:01Z	sector_top1_1m_trend200_009	One-month momentum with 200-day trend filter	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;trend_filter_200d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day momentum but only assets above their 200-day moving average.	0.026127	0.240436	0.409689	0.175971	0.233718	false	discard	Top-one 21-day momentum but only assets above their 200-day moving average.
