idea_id	status	asset_class	trade_expression	time_horizon	theory_anchor	logic_score	data_score	asymmetry_score	risk_score	total_score	description
US5Y-breakevens-energy-inflation-001	watchlist	rates / inflation	Long 5y breakevens via TIPS versus nominal Treasuries	1-3 months	inflation impulse and real-rate repricing	4	4	3	3	18	Commodity shock may be underpriced in inflation compensation but positioning and event data need parsing
IWM-vs-QQQ-neglected-breadth-reversal-001	watchlist	equity index	Long Russell 2000 or IWM versus short Nasdaq 100 or QQQ	1-3 months	growth breadth and positioning risk premium	4	3	4	3	18	Small-cap underownership may reverse if easy credit and resilient growth broaden leadership
CADJPY-oil-yen-funding-001	watchlist	FX	Long CADJPY spot or forward	1-3 months	terms of trade and funding currency dynamics	4	3	3	2	16	Oil supports CAD versus yen funding weakness but intervention and crowding risk are high
US2s10s-flattener-sticky-inflation-001	watchlist	rates	US 2s10s flattener	1-3 months	monetary policy reaction function and inflation impulse	4	4	3	3	18	Sticky inflation can reprice front-end yields but front-end shorts and issuance gaps limit confidence
RSP-vs-QQQ-retail-breadth-001	watchlist	equity index relative value	Long RSP versus short QQQ	1-3 months	growth breadth, liquidity/credit risk appetite, positioning risk premium	4	4	4	3	19	Interesting tactical breadth dislocation, but superseded for an 80k tail-risk-focused retail quant by long-only vol-capped multi-asset momentum
retail-tail-risk-momentum-001	accept	multi-asset ETF systematic allocation	Top-two trend/momentum across SPY USMV GLD DBC with per-sleeve cap and SHY residual	monthly tactical / strategic	liquidity/credit risk appetite, trend risk premium, positioning/valuation risk premium	4	4	4	5	21	Best current retail quant candidate for 80k and tail-risk avoidance: robustness grid supports trend 100-150d, momentum 126-189d, top-2, 33pct sleeve cap, no leverage/shorts/options
Gold-inflation-hedge-001	reject	commodity	Long gold or GLD	1-3 months	inflation impulse and real rates	3	3	2	2	10	High and rising real yields make gold a noisy inflation hedge versus cleaner breakevens
Short-Nasdaq-outright-001	reject	equity index	Short Nasdaq 100 or QQQ	tactical	valuation and real-rate repricing	3	3	2	2	10	Crowded mega-cap leadership is vulnerable but outright short is too blunt versus relative value
AUD-commodity-growth-001	reject	FX	Long AUDUSD or AUDJPY	1-3 months	growth cycle and terms of trade	3	2	2	2	9	Copper narrative is stale and AUD positioning already looks extended
Long-oil-after-shock-001	reject	commodity	Long WTI Brent or USO	1-3 months	commodity supply shock	3	2	2	2	9	Oil has already moved sharply and curve inventory carry data is missing
HY-credit-carry-001	reject	credit	Long HYG or JNK	1-3 months	liquidity and credit risk premium	3	3	2	2	10	Tight spreads and easy conditions leave poor margin of safety after rates and oil shock
Broad-USD-policy-divergence-001	reject	FX	Long DXY or UUP	1-3 months	policy divergence and dollar funding	3	2	2	2	9	Broad USD thesis mixes conflicting channels and lacks cleaner mispricing than cross or rates expressions
Long-vol-complacency-001	reject	volatility	Long VIX futures options or ETPs	tactical	volatility risk premium	2	2	2	1	7	Low VIX alone is not a thesis and vol products require term-structure catalyst data
